,user_id,product_id,avg_score,user_rating,user_skintype,user_eyecolor,user_haircolor,user_skintone,user_age,demo
0,ging03,P436506,4.1151,5,combination,green,red,fair,,000
1,anablazia,P436506,4.1151,4,combination,blue,brunette,light,,111
2,gbrewing,P436506,4.1151,4,oily,hazel,blonde,light,over54,221
3,LexyP,P436506,4.1151,5,dry,brown,brunette,olive,,312
4,carlycolo,P436506,4.1151,5,combination,brown,brunette,medium,,313
5,PatriciaVSE,P436506,4.1151,5,combination,brown,brunette,fair,,310
6,Radz04,P436506,4.1151,4,combination,brown,brunette,olive,,312
7,erinlaurant,P436506,4.1151,5,combination,blue,blonde,tan,,124
8,agares,P436506,4.1151,5,combination,,,tan,,434
9,Nizmo,P436506,4.1151,5,combination,brown,black,medium,,343
10,aliyahbreann,P436506,4.1151,4,normal,brown,brunette,light,,311
11,nemethge,P436506,4.1151,3,combination,blue,blonde,light,,121
12,tubesocks,P436506,4.1151,5,combination,brown,blonde,medium,,323
13,rilafreya,P436506,4.1151,4,combination,brown,black,medium,,343
14,bgsedwards,P436506,4.1151,5,dry,hazel,red,fair,,200
15,ThePerfectMatch,P436506,4.1151,4,combination,brown,brunette,light,,311
16,laurasn,P436506,4.1151,5,combination,brown,black,olive,,342
17,brittanyt98,P436506,4.1151,5,normal,brown,brunette,fair,,310
18,jodilovesbeauty,P436506,4.1151,5,combination,brown,brunette,medium,18to24,313
19,ChristinaGeneva,P436506,4.1151,4,combination,brown,brunette,tan,,314
20,gwenlovesbeauty,P436506,4.1151,4,dry,green,brunette,fair,,010
21,hollytiara,P436506,4.1151,4,dry,brown,blonde,tan,,324
22,EmmyBethA,P436506,4.1151,5,combination,green,brunette,porcelain,,015
23,hy360,P436506,4.1151,4,normal,brown,brunette,tan,,314
24,amandalala,P436506,4.1151,4,normal,green,blonde,light,,021
25,ParisinApril,P436506,4.1151,5,combination,green,brunette,light,,011
26,lana123,P436506,4.1151,5,combination,brown,brunette,medium,,313
27,angelajeniffer,P436506,4.1151,4,dry,brown,brunette,medium,,313
28,LeslieD1221,P436506,4.1151,4,combination,brown,black,fair,,340
29,GigiAchoy,P436506,4.1151,5,combination,brown,brunette,tan,,314
30,tigerl18,P436506,4.1151,5,combination,gray,blonde,medium,,523
31,PonyMa,P436506,4.1151,5,combination,brown,black,medium,,343
32,demonchaser,P436506,4.1151,4,oily,green,brunette,olive,,012
33,mariaharob,P436506,4.1151,4,dry,brown,brunette,deep,,316
34,stirlingsgs,P436506,4.1151,4,combination,brown,brunette,medium,,313
35,Karielle1,P436506,4.1151,5,normal,blue,blonde,fair,,120
36,Jeimy05,P436506,4.1151,5,combination,brown,brunette,olive,,312
37,Melissanamasa,P436506,4.1151,5,combination,brown,black,tan,,344
38,cpal101,P436506,4.1151,4,oily,brown,brunette,medium,,313
39,VickyZhouuu,P436506,4.1151,5,dry,brown,black,fair,,340
