,links2,brand_names,product_names,p_id,ratings,price,total_shades,total_reviews,loves,shades_names,img,hot_shade
0,https://www.sephora.com/product/rouge-pur-couture-matte-slim-lipstick-P436506?icid2=products%20grid:p436506:product,YVES SAINT LAURENT,Rouge Pur Couture The Slim Matte Lipstick,P436506,4 stars,$39.00,16,138,51064,"['1 Rouge Extravagant bright red', '2 Strange Orange tangerine', '4 Fuchsia Excentrique soft raspberry ', '5 Peculiar Pink rich berry ', '8 Contrary Fuchsia fuchsia', '9 Red Enigma brick red', '10 Corail Antinomique rich coral ', '11 Ambiguous Beige pink beige', '12 Nu Incongru rosey nude', '14 Rose Curieux electric pink ', '16 Rosewood Oddity dusty mauve', '17 Nude Antonym cool beige', '18 Reverse Red bordeaux', '21 Rouge Paradoxe deep red ', '23 Mystery Red coral red', '24 Rare Rose pale nude ']",https://www.sephora.com/productimages/sku/s2129922-main-Lhero.jpg,"['1 Rouge Extravagant bright red', '2 Strange Orange tangerine', '4 Fuchsia Excentrique soft raspberry']"
1,https://www.sephora.com/product/mattetrance-lipstick-P421813?icid2=products%20grid:p421813:product,PAT MCGRATH LABS,MatteTrance™ Lipstick,P421813,4 stars,$38.00,30,979,165344,"['Peep Show soft pink peach nude', 'Venus In Furs rose', 'Femme Bot midtone blue pink', '1995 108 warm light nude', 'Candy Flip midtone coral', 'Omi 107 mid-tone rose', 'Flesh 3 109 brown rose', 'Soft Core cool pink', 'Polaroid Pink midtone blue pink', 'Full Panic 005 bright fuchsia', 'Modern Woman midtone lilac', 'Faux Pas midtone lavender', 'Antidote 207 magenta violet', 'Full Blooded deep wine', 'Obsessed! 211 bright orange red', 'Elson 013 blue red', 'Vendetta dark red', 'McMenamy 200 deep burgundy', 'Deep Void 210 deep blackened purple', 'Flesh 5 bronzed rose', 'Guinevere blooded crimson', 'Beautiful Stranger coral rose', 'Christy divine beige nude', 'Executive Realness mulberry pink', 'Extravaganza magnetic magenta', 'Elson 2 fiery orange red', 'Fever Dream peach sienna', 'Deep Orchid plum berry', 'Skin Show omi, 1995, flesh 3', 'Colour Blitz elson, obsessed!, full panic']",https://www.sephora.com/productimages/sku/s2012748-main-Lhero.jpg,"['Flesh 3 109 brown rose', 'Elson 2 fiery orange red', 'Flesh 5 bronzed rose']"
2,https://www.sephora.com/product/lip-maestro-P393411?skuId=1664267&icid2=products%20grid:p393411:product,GIORGIO ARMANI BEAUTY,Lip Maestro,P393411,4.5 stars,$38.00,15,897,118133,"['405', '507', '406', '508', '400', '401', '402', '504', '501', '502', '200', '300', '500', '201', '202']",https://www.sephora.com/productimages/sku/s1755685-main-Lhero.jpg,"['500', '400', '501']"
3,https://www.sephora.com/product/lust-mini-mattetrance-lipstick-skin-show-trio-P434529?icid2=products%20grid:p434529:product,PAT MCGRATH LABS,LUST: Mini MatteTrance™ Lipstick Trio,P434529,4 stars,$25.00,2,432,93157,"['Skin Show omi, 1995, flesh 3', 'Colour Blitz elson, obsessed!, full panic']",https://www.sephora.com/productimages/sku/s2148690-main-Lhero.jpg,"['1995', 'flesh 3', 'Skin Show omi']"
4,https://www.sephora.com/product/lust-lip-gloss-P431852?icid2=products%20grid:p431852:product,PAT MCGRATH LABS,LUST: Lip Gloss,P431852,4.5 stars,$28.00,29,313,99202,"['Dare to Bare peach nude with gold pearl', 'Flesh Astral nude rose with gold pearl', 'Divine Rose ultimate plum rose with reflective pearl', 'Bronze Temptation golden bronze', 'Paraphernalia magenta with blue iridescent pearl', 'Sunset Rose warm rose with golden pearl', 'Love Potion pale pink taupe with iridescent pearl', 'Peach Perversion pale peach with iridescent pearl', 'Faux Real deep beige with pearlescent sheen', 'Flesh Fantasy lush pink beige', 'Twilo clean coral pink', 'Flesh 4 warm mid-tone brown', 'Blood 2 classic blue red', 'Aphrodisiac mid-tone peach', 'Wicked Whisper warm rose with golden pearl', 'Prima Donna mid tone cool pink', 'Heavy Petal vibrant pink rose', 'Flesh 6 rich mahogany brown', 'Secret Lover lush rose with gold pearl', 'Pale Fire Nectar coral duochrome with pink pearl', 'Aliengelic prismatic duochrome infused with pink pearl', 'Gold Allure glittering white gold', 'Blitz Gold glistening 24 karat gold pearl', 'Bronze Divinity bronzed rose with gold and pink pearl', 'Astral Moon Flower periwinkle blue with iridescent pearl', 'Earth Angel golden champagne infused with glittering copper and pink pearl', 'Bronze Venus brilliant bronze infused with glittering pink pearl', 'Skin Show Nudes dare to bare, divine rose, pale fire nectar', 'Skin Show Nudes flesh 4, bronze temptation, flesh fantasy']",https://www.sephora.com/productimages/sku/s2187953-main-Lhero.jpg,"['Bronze Divinity bronzed rose with gold and pink pearl', 'Dare to Bare peach nude with gold pearl', 'Flesh Astral nude rose with gold pearl']"
5,https://www.sephora.com/product/matte-revolution-lipstick-P433530?icid2=products%20grid:p433530:product,CHARLOTTE TILBURY,Matte Revolution Lipstick,P433530,4.5 stars,$34.00,12,423,90369,"['Very Victoria taupe nude', 'Sexy Sienna coral', 'Pillow Talk nude pink', 'Bond Girl natural berry red', 'Birkin Brown soft chocolate brown', 'Walk Of Shame berry rose', 'Lost Cherry pastel fuschia', 'Amazing Grace pink coral', 'Red Carpet Red ruby red', 'The Queen rosy pink', 'Glastonberry muted purple berry', 'Love Liberty berry pink']",https://www.sephora.com/productimages/sku/s2116879-main-Lhero.jpg,"['Pillow Talk nude pink', 'Very Victoria taupe nude', 'Bond Girl natural berry red']"
6,https://www.sephora.com/product/lip-color-P416057?icid2=products%20grid:p416057:product,TOM FORD,Lip Color,P416057,4.5 stars,$55.00,37,186,102362,"['Sable Smoke', 'Blush Nude', 'Naked Coral', 'Twist of Fate', 'Spanish Pink', 'Pink Dusk', 'Forbidden Pink', 'Indian Rose', 'Flamingo', 'Cherry Lush', 'Scarlet Rouge', 'True Coral', 'Wild Ginger', 'Casablanca', 'Bruised Plum', 'Naked Ambition', 'Spiced Honey', 'All Mine', 'Bad Lieutenant', 'Open Kimono', 'Devore', 'Autoerotique', 'Magnetic Attraction', 'Paper Doll', 'Pretty Pursuasive', 'Sugar Glider', 'Night Mauve', 'Adora', 'Contempt', 'Sweet Tempest', 'Vermillionaire', 'Dressed To Kill', 'Jasmin Rouge', 'Original Sin', 'Impassioned', 'Stimulant', 'Foxfire']",https://www.sephora.com/productimages/sku/s1987171-main-Lhero.jpg,"['Indian Rose', 'Scarlet Rouge', 'Blush Nude']"
7,https://www.sephora.com/product/rouge-volupte-shine-oil-in-stick-lipstick-P377710?icid2=products%20grid:p377710:product,YVES SAINT LAURENT,Rouge Volupté Shine Oil-In-Stick Lipstick,P377710,4.5 stars,$38.00,31,1000,190627,"['9 Nude Sheer spicy warm beige', '42 Baume Midi Minuit sheer shimmer', '44 Nude Lavalliere pinkish brown', '43 Rose Rive Gauche smokey rose', '8 Pink Blouson  dusty pale pink', '47 Beige Blouse soft beige', '48 Smoking Plum\xa0 juicy plum', '87 Rose Afrique spice rose', '88 Rose Nu true rose', '89 Rose Blazer plum rose', '6 Pink Safari\xa0 bright hibiscus pink', '13 Pink Babylone dried rose pink', '41 Corail A Porter light tangerine', '49 Rose Saint Germain\xa0 bright strawberry pink', '50 Fuchsia Stiletto\xa0 shocking magenta', '51 Rose Saharienne soft pink', '52 Trapeze Pink pure pink', '90 Plum Tunique medium plum', '4 Rouge Ballet deep strawberry red', '45 Rouge Tuxedo cherry red', '83 Rouge Cape blue rose', '84 Red Cassandre ruby red', '85 Burgundy Love red wine', '86 Mauve Cuir spice mauve', '12 Corail Dolman\xa0 bright cajun coral', '14 Corail Marrakech\xa0 creamy orange coral', '46 Orange Perfecto poppy coral', '79 Coral Plume golden terra cotta', '80 Chili Tunique medium true spice', '81 Coral Aviator deep coral', '82 Orange Crêpe vibrant orange coral']",https://www.sephora.com/productimages/sku/s2178283-main-Lhero.jpg,"['4 Rouge Ballet deep strawberry red', '45 Rouge Tuxedo cherry red', '41 Corail A Porter light tangerine']"
8,https://www.sephora.com/product/rouge-pur-couture-vernis-l-vres-vinyl-cream-P410743?icid2=products%20grid:p410743:product,YVES SAINT LAURENT,Vinyl Cream Lip Stain,P410743,4.5 stars,$37.00,14,526,103303,"['401 Rouge Vinyle', '402 Rouge Remix', '403 Rose Happening', '407 Carmin Session', '408 Corial Neo-Pop', '409 Burgundy Vibes', '410 Fuchsia Live', '411 Rhythm Red', '412 Rose Mix', '413 Bourgogne Alternatif', '414 - Rave Orange', '415 - Fuchsia Beats', '416 - Psychedlic Chili', '417 Nude']",https://www.sephora.com/productimages/sku/s1858042-main-Lhero.jpg,"['412 Rose Mix', '401 Rouge Vinyle', '407 Carmin Session']"
9,https://www.sephora.com/product/velvet-matte-lip-pencil-P78834?icid2=products%20grid:p78834:product,NARS,Velvet Matte Lipstick Pencil,P78834,4.5 stars,$27.00,31,4000,325996,"['Get Off pink beige', 'Intriguing rose pink', 'Bad Girl dusty rose', 'Dance Fever rose brown', 'Take Me Home tan rose', 'Roman Holiday vibrant pink sheen', 'Do Me Baby chestnut rose', 'Sex Machine pink mauve', 'Bettina natural rose beige sheen', 'Good Times warm beige nude', 'Dolce Vita dusty rose', 'Bahama pink brown', 'Walkyrie warm coral red creme', 'Famous Red bright pink coral', ""Let's Go Crazy vivid pink"", 'Pussy Control lilac', 'Never Say Never lilac rose', 'Promiscuous pink orchid', 'Endangered Red oxblood burgundy', 'Dirty Mind deep lilac', 'Train Bleu deep aubergine', 'Red Square bright orange red', 'Dragon Girl siren red', 'Mysterious Red crimson red', 'Cruella scarlet red', 'Damned magenta', 'Consuming Red bordeaux', 'Lonely Heart chocolate brown', 'Unspoken midnight blue', 'Cruella/ Dolce Vita scarlet red/ dusty rose', 'Damned/ Walkyrie magenta/ warm coral red creme']",https://www.sephora.com/productimages/sku/s1900083-main-Lhero.jpg,"['Cruella Dolce Vita scarlet red dusty rose', 'Dolce Vita dusty rose', 'Dragon Girl siren red']"
